term,old_file,new_file,old_url,new_url,status
3.5mm Connector,TRS3mmConnector.PNG,3-5mm-connector.webp,glossary-images/TRS3mmConnector.PNG,glossary-images/3-5mm-connector.webp,ok
5-Pin DIN (MIDI),MIDIcable.PNG,5-pin-din.webp,glossary-images/MIDIcable.PNG,glossary-images/5-pin-din.webp,ok
AC Power,ACOutle.PNG,ac-power.webp,glossary-images/ACOutle.PNG,glossary-images/ac-power.webp,ok
AED,AED.PNG,aed.webp,glossary-images/AED.PNG,glossary-images/aed.webp,ok
Arcing,ElectircalArch.PNG,arcing.webp,glossary-images/ElectircalArch.PNG,glossary-images/arcing.webp,ok
Audio Interface,AduioInterface.PNG,audio-interface.webp,glossary-images/AduioInterface.PNG,glossary-images/audio-interface.webp,ok
Banana Plug,Banana.PNG,banana-plug.webp,glossary-images/Banana.PNG,glossary-images/banana-plug.webp,ok
Barricade,Barricade.PNG,barricade.webp,glossary-images/Barricade.PNG,glossary-images/barricade.webp,ok
Binaural Mic,BinauralMic (2).PNG,binaural-mic.webp,glossary-images/BinauralMic (2).PNG,glossary-images/binaural-mic.webp,ok
BNC Connector (Bayonet Neill-Concelman),BNCconnector.PNG,bnc-connector.webp,glossary-images/BNCconnector.PNG,glossary-images/bnc-connector.webp,ok
Boundary Microphone (PZM),PZM.PNG,boundary-microphone.webp,glossary-images/PZM.PNG,glossary-images/boundary-microphone.webp,ok
Cable Ramp,CableCover.PNG,cable-ramp.webp,glossary-images/CableCover.PNG,glossary-images/cable-ramp.webp,ok
Cable Tie,ZipTies.PNG,cable-tie.webp,glossary-images/ZipTies.PNG,glossary-images/cable-tie.webp,ok
Camlock,CAMLOK_ac_connector.PNG,camlock.webp,glossary-images/CAMLOK_ac_connector.PNG,glossary-images/camlock.webp,ok
Carbon Microphone,CarbonMic.PNG,carbon-microphone.webp,glossary-images/CarbonMic.PNG,glossary-images/carbon-microphone.webp,ok
Circuit Breaker,CircuitBreaker.PNG,circuit-breaker.webp,glossary-images/CircuitBreaker.PNG,glossary-images/circuit-breaker.webp,ok
Coaxial Cable,CoaxialCable.PNG,coaxial-cable.webp,glossary-images/CoaxialCable.PNG,glossary-images/coaxial-cable.webp,ok
Coaxial Driver,CoAxial_vehicleSPeaker.PNG,coaxial-driver.webp,glossary-images/CoAxial_vehicleSPeaker.PNG,glossary-images/coaxial-driver.webp,ok
Condenser Microphone,CondenserMic.PNG,condenser-microphone.webp,glossary-images/CondenserMic.PNG,glossary-images/condenser-microphone.webp,ok
constant directivity (CD) horn,ConstantDirectivityHorn.PNG,constant-directivity-horn.webp,glossary-images/ConstantDirectivityHorn.PNG,glossary-images/constant-directivity-horn.webp,ok
Contact Microphone,ContactMic.PNG,contact-microphone.webp,glossary-images/ContactMic.PNG,glossary-images/contact-microphone.webp,ok
Crimping Tool,Crimper.PNG,crimping-tool.webp,glossary-images/Crimper.PNG,glossary-images/crimping-tool.webp,ok
Damaged Power Cord,BadCable.PNG,damaged-power-cord.webp,glossary-images/BadCable.PNG,glossary-images/damaged-power-cord.webp,ok
DB25 (D-sub),db25_connector.PNG,db25.webp,glossary-images/db25_connector.PNG,glossary-images/db25.webp,ok
DI box (direct injection),DIbox.PNG,di-box.webp,glossary-images/DIbox.PNG,glossary-images/di-box.webp,ok
Diffuser,SkylineDiffuser.PNG,diffuser.webp,glossary-images/SkylineDiffuser.PNG,glossary-images/diffuser.webp,ok
Dolly,F0AF20D8-BA64-4397-9B9F-1A0C9177E352.PNG,dolly.webp,glossary-images/F0AF20D8-BA64-4397-9B9F-1A0C9177E352.PNG,glossary-images/dolly.webp,ok
Dosimeter,Dosimiter.PNG,dosimeter.webp,glossary-images/Dosimiter.PNG,glossary-images/dosimeter.webp,ok
Drum Riser,DrumRiser.PNG,drum-riser.webp,glossary-images/DrumRiser.PNG,glossary-images/drum-riser.webp,ok
Earplugs,EarPlugs.PNG,earplugs.webp,glossary-images/EarPlugs.PNG,glossary-images/earplugs.webp,ok
Edison Plug,EdisonConnector.PNG,edison-plug.webp,glossary-images/EdisonConnector.PNG,glossary-images/edison-plug.webp,ok
Electrical Arc,ElectircalArch.PNG,electrical-arc.webp,glossary-images/ElectircalArch.PNG,glossary-images/electrical-arc.webp,ok
Electrical Shock,ElectHazzard.PNG,electrical-shock.webp,glossary-images/ElectHazzard.PNG,glossary-images/electrical-shock.webp,ok
Electrocution,ShockHazSign.PNG,electrocution.webp,glossary-images/ShockHazSign.PNG,glossary-images/electrocution.webp,ok
Emergency Exit,EmergncyExit.PNG,emergency-exit.webp,glossary-images/EmergncyExit.PNG,glossary-images/emergency-exit.webp,ok
Equipment Ground,GroundPoint.PNG,equipment-ground.webp,glossary-images/GroundPoint.PNG,glossary-images/equipment-ground.webp,ok
Evacuation Route,Evac_Route.PNG,evacuation-route.webp,glossary-images/Evac_Route.PNG,glossary-images/evacuation-route.webp,ok
Fader,Fader.PNG,fader.webp,glossary-images/Fader.PNG,glossary-images/fader.webp,ok
Fall Arrest System,FallArrestSystm.PNG,fall-arrest-system.webp,glossary-images/FallArrestSystm.PNG,glossary-images/fall-arrest-system.webp,ok
Fall Hazard,FallHazzard.PNG,fall-hazard.webp,glossary-images/FallHazzard.PNG,glossary-images/fall-hazard.webp,ok
Fire Alarm,FireAlarm.PNG,fire-alarm.webp,glossary-images/FireAlarm.PNG,glossary-images/fire-alarm.webp,ok
Fire Extinguisher,FireExtinguish.PNG,fire-extinguisher.webp,glossary-images/FireExtinguish.PNG,glossary-images/fire-extinguisher.webp,ok
FireWire,FirewireConnector.PNG,firewire.webp,glossary-images/FirewireConnector.PNG,glossary-images/firewire.webp,ok
First Aid Kit,FirstAidKit.PNG,first-aid-kit.webp,glossary-images/FirstAidKit.PNG,glossary-images/first-aid-kit.webp,ok
Folded Horn,FoldedHorn.PNG,folded-horn.webp,glossary-images/FoldedHorn.PNG,glossary-images/folded-horn.webp,ok
Gaffer Tape,GaffTape.PNG,gaffer-tape.webp,glossary-images/GaffTape.PNG,glossary-images/gaffer-tape.webp,ok
GFCI,GFCIoutlet.PNG,gfci.webp,glossary-images/GFCIoutlet.PNG,glossary-images/gfci.webp,ok
Gigabit Ethernet,EthernetConnector.PNG,gigabit-ethernet.webp,glossary-images/EthernetConnector.PNG,glossary-images/gigabit-ethernet.webp,ok
Gooseneck Microphone,GoosneckMic.PNG,gooseneck-microphone.webp,glossary-images/GoosneckMic.PNG,glossary-images/gooseneck-microphone.webp,ok
graphic equalizer,GraphicEQ.PNG,graphic-equalizer.webp,glossary-images/GraphicEQ.PNG,glossary-images/graphic-equalizer.webp,ok
Ground Bus Bar,RackGroundBusBar.PNG,ground-bus-bar.webp,glossary-images/RackGroundBusBar.PNG,glossary-images/ground-bus-bar.webp,ok
Ground Rod,GroundRod.PNG,ground-rod.webp,glossary-images/GroundRod.PNG,glossary-images/ground-rod.webp,ok
